Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
4.260003,S,4.260003,0.9486592,0.001869086,0.7261626,0.000331213,2.093939,43.6582,145.3285,0.06610897,75.34203,99.86094,4.437812,-137.7172964,-137.6722,-3.524072,1027.264073,1026.435,33.92839,87.69978,88.1068,2906.302,79.08746
4.270003,S,4.270003,0.9474248,0.001878218,0.7287524,0.000333653,0,43.65819,145.4175,0.06639765,75.33544,99.85504,4.437937,-139.3258443,-139.2796,-3.589418,1025.870756,1025.042,33.8925,87.69867,88.10624,2916.552,79.42656
4.280003,S,4.280003,0.9461755,0.001878033,0.7258761,0.000335589,0,43.65819,144.4121,0.06658489,75.33544,99.84908,4.436857,-138.5848903,-138.539,-3.566133,1024.485442,1023.657,33.85684,87.69755,88.10567,2926.789,79.7653
4.290003,S,4.290003,0.9449334,0.001871473,0.7230163,0.000335861,0,43.65819,143.4165,0.06644171,75.33544,99.84315,4.435785,-137.8512334,-137.8057,-3.542824,1023.107132,1022.279,33.82141,87.69642,88.10509,2937.012,80.1037
4.300004,S,4.300004,0.9436976,0.001858517,0.720171,0.000334989,0,43.65819,142.4299,0.06607408,75.33544,99.83727,4.434721,-137.1240758,-137.0789,-3.519567,1021.735827,1020.908,33.78622,87.69528,88.10453,2947.221,80.44173
4.310004,S,4.310004,0.9424682,0.001838853,0.7173405,0.000332968,0,43.65819,141.4521,0.06548262,75.33544,99.83143,4.433663,-136.4036169,-136.3588,-3.496335,1020.371525,1019.544,33.75126,87.69415,88.10396,2957.416,80.77942
4.320004,S,4.320004,0.9412451,0.001810322,0.7145244,0.000329738,0,43.65819,140.4833,0.06465786,75.33544,99.82563,4.432613,-135.689657,-135.6452,-3.473145,1019.015226,1018.188,33.71653,87.69299,88.10339,2967.598,81.11676
4.330004,S,4.330004,0.9400292,0.001781722,0.7117249,0.000324909,0,43.65819,139.5239,0.06352536,75.33544,99.81987,4.431571,-134.9825945,-134.9385,-3.449933,1017.665932,1016.839,33.68203,87.69185,88.10281,2977.767,81.45375
4.340004,S,4.340004,0.9388196,0.001753029,0.70894,0.000320057,0,43.65819,138.5732,0.06239503,75.33544,99.81414,4.430533,-134.2820354,-134.2383,-3.426931,1016.323641,1015.497,33.64776,87.6907,88.10224,2987.922,81.7904
4.350005,S,4.350005,0.9376164,0.001717743,0.7061698,0.000315177,0,43.65819,137.6312,0.06126615,75.33544,99.80844,4.429502,-133.5877797,-133.5444,-3.40413,1014.988355,1014.162,33.61372,87.68954,88.10167,2998.063,82.1267
